indicator,jenis_kelamin,usia_bulan,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
bbu,P,23,-0.15,11.3,0.1239,7.9,8.9,10,11.3,12.8,14.6,16.7
bbu,P,24,-0.15,11.5,0.1217,8.1,9,10.2,11.5,13,14.8,17
bbu,P,25,-0.15,11.7,0.1282,8.2,9.2,10.3,11.7,13.3,15.1,17.3
bbu,P,26,-0.15,11.9,0.1261,8.4,9.4,10.5,11.9,13.5,15.4,17.7
bbu,P,27,-0.15,12.1,0.124,8.5,9.5,10.7,12.1,13.7,15.7,18
bbu,P,28,-0.15,12.3,0.126,8.6,9.7,10.9,12.3,14,16,18.3
bbu,P,29,-0.15,12.5,0.124,8.8,9.8,11.1,12.5,14.2,16.2,18.7
bbu,P,30,-0.15,12.7,0.126,8.9,10,11.2,12.7,14.4,16.5,19
bbu,P,31,-0.15,12.9,0.1279,9,10.1,11.4,12.9,14.7,16.8,19.3
bbu,P,32,-0.15,13.1,0.126,9.1,10.3,11.6,13.1,14.9,17.1,19.6
bbu,P,33,-0.15,13.3,0.1278,9.3,10.4,11.7,13.3,15.1,17.3,20
bbu,P,34,-0.15,13.5,0.1296,9.4,10.5,11.9,13.5,15.4,17.6,20.3
bbu,P,35,-0.15,13.7,0.1314,9.5,10.7,12,13.7,15.6,17.9,20.6
bbu,P,36,-0.15,13.9,0.1295,9.6,10.8,12.2,13.9,15.8,18.1,20.9
bbu,P,37,-0.15,14,0.1286,9.7,10.9,12.4,14,16,18.4,21.3
bbu,P,38,-0.15,14.2,0.1338,9.8,11.1,12.5,14.2,16.3,18.7,21.6
bbu,P,39,-0.15,14.4,0.1319,9.9,11.2,12.7,14.4,16.5,19,22
bbu,P,40,-0.15,14.6,0.1336,10.1,11.3,12.8,14.6,16.7,19.2,22.3
bbu,P,41,-0.15,14.8,0.1318,10.2,11.5,13,14.8,16.9,19.5,22.7
bbu,P,42,-0.15,15,0.1367,10.3,11.6,13.1,15,17.2,19.8,23
bbu,P,43,-0.15,15.2,0.1349,10.4,11.7,13.3,15.2,17.4,20.1,23.4
bbu,P,44,-0.15,15.3,0.1373,10.5,11.8,13.4,15.3,17.6,20.4,23.7
bbu,P,45,-0.15,15.5,0.1355,10.6,12,13.6,15.5,17.8,20.7,24.1
bbu,P,46,-0.15,15.7,0.1401,10.7,12.1,13.7,15.7,18.1,20.9,24.5
bbu,P,47,-0.15,15.9,0.1384,10.8,12.2,13.9,15.9,18.3,21.2,24.8
bbu,P,48,-0.15,16.1,0.1398,10.9,12.3,14,16.1,18.5,21.5,25.2
bbu,P,49,-0.15,16.3,0.1411,11,12.4,14.2,16.3,18.8,21.8,25.5
bbu,P,50,-0.15,16.4,0.1433,11.1,12.6,14.3,16.4,19,22.1,25.9
bbu,P,51,-0.15,16.6,0.1416,11.2,12.7,14.5,16.6,19.2,22.4,26.3
bbu,P,52,-0.15,16.8,0.1429,11.3,12.8,14.6,16.8,19.4,22.6,26.6
bbu,P,53,-0.15,17,0.1441,11.4,12.9,14.8,17,19.7,22.9,27
bbu,P,54,-0.15,17.2,0.1453,11.5,13,14.9,17.2,19.9,23.2,27.4
bbu,P,55,-0.15,17.3,0.1445,11.6,13.2,15.1,17.3,20.1,23.5,27.7
bbu,P,56,-0.15,17.5,0.1457,11.7,13.3,15.2,17.5,20.3,23.8,28.1
bbu,P,57,-0.15,17.7,0.1497,11.8,13.4,15.3,17.7,20.6,24.1,28.5
bbu,P,58,-0.15,17.9,0.148,11.9,13.5,15.5,17.9,20.8,24.4,28.8
bbu,P,59,-0.15,18,0.15,12,13.6,15.6,18,21,24.6,29.2
bbu,P,60,-0.15,18.2,0.1484,12.1,13.7,15.8,18.2,21.2,24.9,29.5
